start_time,esports_match_id,map_name,team_one_name,team_two_name,match_winner,map_winner,winning_team_final_map_score,losing_team_final_map_score
7/12/2018 0:19,13121,Dorado,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,1
7/12/2018 0:41,13121,Oasis,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Boston Uprising,2,1
7/12/2018 1:12,13121,Eichenwalde,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,5,4
7/12/2018 1:45,13121,Volskaya Industries,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,0
7/12/2018 2:29,13124,Junkertown,Los Angeles Gladiators,London Spitfire,Los Angeles Gladiators,Los Angeles Gladiators,3,2
7/12/2018 2:53,13124,Lijiang Tower,Los Angeles Gladiators,London Spitfire,Los Angeles Gladiators,Los Angeles Gladiators,2,1
7/12/2018 3:26,13124,King's Row,Los Angeles Gladiators,London Spitfire,Los Angeles Gladiators,Los Angeles Gladiators,2,1
7/14/2018 0:12,13122,Junkertown,Boston Uprising,Philadelphia Fusion,Boston Uprising,Boston Uprising,5,4
7/14/2018 0:44,13122,Lijiang Tower,Boston Uprising,Philadelphia Fusion,Boston Uprising,Boston Uprising,2,0
7/14/2018 1:09,13122,King's Row,Boston Uprising,Philadelphia Fusion,Boston Uprising,Philadelphia Fusion,3,2
7/14/2018 1:30,13122,Hanamura,Boston Uprising,Philadelphia Fusion,Boston Uprising,Boston Uprising,3,2
7/14/2018 2:09,13123,Junkertown,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Boston Uprising,3,2
7/14/2018 2:35,13123,Lijiang Tower,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,0
7/14/2018 3:01,13123,Eichenwalde,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,1
7/14/2018 3:23,13123,Hanamura,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,1
7/14/2018 20:16,13125,Dorado,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,2,1
7/14/2018 20:42,13125,Oasis,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,2,0
7/14/2018 21:13,13125,Eichenwalde,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,3,0
7/14/2018 21:48,13126,Junkertown,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,3,2
7/14/2018 22:12,13126,Lijiang Tower,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,2,0
7/14/2018 22:41,13126,King's Row,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,5,4
7/19/2018 0:14,13130,Dorado,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,2
