,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-07-26 00:26:54+00:00,2020-07-26 00:27:16+00:00,34808,Nepal,1,1,Philadelphia Fusion,22,610.0,27.727272727272727
1,2020-07-26 00:27:42+00:00,2020-07-26 00:28:30+00:00,34808,Nepal,1,2,Philadelphia Fusion,48,955.0,19.895833333333332
2,2020-07-26 00:28:44+00:00,2020-07-26 00:29:34+00:00,34808,Nepal,1,3,Los Angeles Gladiators,50,-1051.0,-21.02
3,2020-07-26 00:29:50+00:00,2020-07-26 00:30:16+00:00,34808,Nepal,1,4,Los Angeles Gladiators,26,-126.0,-4.846153846153846
4,2020-07-26 00:30:34+00:00,2020-07-26 00:31:02+00:00,34808,Nepal,1,5,Los Angeles Gladiators,28,-355.0,-12.678571428571429
5,2020-07-26 00:31:04+00:00,2020-07-26 00:32:10+00:00,34808,Nepal,1,6,Los Angeles Gladiators,66,-617.0,-9.348484848484848
6,2020-07-26 00:33:00+00:00,2020-07-26 00:34:06+00:00,34808,Nepal,1,7,Los Angeles Gladiators,66,-230.0,-3.484848484848485
7,2020-07-26 00:34:22+00:00,2020-07-26 00:35:14+00:00,34808,Nepal,1,8,Philadelphia Fusion,52,1137.0,21.865384615384617
8,2020-07-26 00:35:36+00:00,2020-07-26 00:36:12+00:00,34808,Nepal,1,9,Philadelphia Fusion,36,55.0,1.5277777777777777
9,2020-07-26 00:36:18+00:00,2020-07-26 00:37:04+00:00,34808,Nepal,1,10,Los Angeles Gladiators,46,-585.0,-12.717391304347826
10,2020-07-26 00:37:18+00:00,2020-07-26 00:37:44+00:00,34808,Nepal,1,11,Philadelphia Fusion,26,719.0,27.653846153846153
11,2020-07-26 00:38:04+00:00,2020-07-26 00:38:44+00:00,34808,Nepal,1,12,Los Angeles Gladiators,40,-158.0,-3.95
12,2020-07-26 00:48:08+00:00,2020-07-26 00:48:36+00:00,34808,Eichenwalde,2,1,Los Angeles Gladiators,28,-1164.0,-41.57142857142857
13,2020-07-26 00:49:12+00:00,2020-07-26 00:49:46+00:00,34808,Eichenwalde,2,2,Los Angeles Gladiators,34,-1016.0,-29.88235294117647
14,2020-07-26 00:50:02+00:00,2020-07-26 00:50:48+00:00,34808,Eichenwalde,2,3,Los Angeles Gladiators,46,-1539.0,-33.45652173913044
15,2020-07-26 00:51:00+00:00,2020-07-26 00:51:32+00:00,34808,Eichenwalde,2,4,Philadelphia Fusion,32,244.0,7.625
16,2020-07-26 00:51:48+00:00,2020-07-26 00:52:22+00:00,34808,Eichenwalde,2,5,Los Angeles Gladiators,34,-990.0,-29.11764705882353
17,2020-07-26 00:52:30+00:00,2020-07-26 00:53:00+00:00,34808,Eichenwalde,2,6,Los Angeles Gladiators,30,-1158.0,-38.6
18,2020-07-26 00:54:50+00:00,2020-07-26 00:55:36+00:00,34808,Eichenwalde,2,7,Los Angeles Gladiators,46,-270.0,-5.869565217391305
19,2020-07-26 00:55:56+00:00,2020-07-26 00:56:36+00:00,34808,Eichenwalde,2,8,Los Angeles Gladiators,40,-648.0,-16.2
20,2020-07-26 00:57:00+00:00,2020-07-26 00:57:36+00:00,34808,Eichenwalde,2,9,Philadelphia Fusion,36,737.0,20.47222222222222
21,2020-07-26 00:58:02+00:00,2020-07-26 00:58:16+00:00,34808,Eichenwalde,2,10,Los Angeles Gladiators,14,-565.0,-40.357142857142854
22,2020-07-26 00:58:32+00:00,2020-07-26 00:58:56+00:00,34808,Eichenwalde,2,11,Philadelphia Fusion,24,281.0,11.708333333333334
23,2020-07-26 00:59:20+00:00,2020-07-26 01:00:06+00:00,34808,Eichenwalde,2,12,Los Angeles Gladiators,46,-685.0,-14.891304347826088
24,2020-07-26 01:00:22+00:00,2020-07-26 01:01:14+00:00,34808,Eichenwalde,2,13,Philadelphia Fusion,52,628.0,12.076923076923077
25,2020-07-26 01:01:32+00:00,2020-07-26 01:02:32+00:00,34808,Eichenwalde,2,14,Los Angeles Gladiators,60,-825.0,-13.75
